Time (hours),x,y,MSD,Mphi Area (µm),dMphi Area (µm),Eccentricity,GFP,RFP,Mtb Area (µm),dMtb Area (µm),Infection Status,Initial Infection Status,Final Infection Status,Cell ID,Acquisition ID,Experiment ID,Unique ID,ID,Mtb Area Processed (µm),Time Model (hours),Mtb Area Model (µm),r2,Doubling Amounts,Doubling Times
0.0,807.7609,28.332361,0.0,389.43307,-69.8254623413086,0.0,819.9767,164.9344,17.0306,-17.03059959411621,True,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,17.0306,0.0,17.03059959411621,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
0.5,821.1759,26.213354,13.581304550170898,348.55963,-69.8254623413086,0.0,816.816,162.00815,13.056793,-17.03059959411621,True,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,13.056793,0.5,13.056793212890625,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
1.5,806.5475,40.951733,20.765605926513672,376.37628,-69.8254623413086,0.0,872.51434,164.72096,15.895227,-17.03059959411621,True,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,6.5283966,1.5,6.5283966064453125,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
2.0,780.00244,47.191746,27.26861000061035,233.88692,-69.8254623413086,0.0,851.1141,118.28641,0.0,-17.03059959411621,False,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,0.0,2.0,0.0,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
2.5,779.307,50.52558,3.4055967330932617,122.052635,-69.8254623413086,0.0,844.293,117.30698,0.0,-17.03059959411621,False,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,0.0,2.5,0.0,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
3.5,786.25,29.966667,21.69963264465332,442.7956,-69.8254623413086,0.0,639.4039,116.86539,0.0,-17.03059959411621,False,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,0.0,3.5,0.0,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
4.0,795.299,51.018597,22.914369583129883,396.813,-69.8254623413086,0.0,749.9127,117.824036,0.5676867,-17.03059959411621,True,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,0.5676867,4.0,0.5676866769790649,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
5.0,796.7374,38.019447,13.0784912109375,350.26266,-69.8254623413086,0.0,743.39545,119.30146,0.5676867,-17.03059959411621,True,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,0.5676867,5.0,0.5676866769790649,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
5.5,815.1755,33.85592,18.902292251586914,397.94836,-69.8254623413086,0.0,814.83453,117.91298,0.0,-17.03059959411621,False,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,0.0,5.5,0.0,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
6.0,813.8926,35.478336,2.0683486461639404,327.5552,-69.8254623413086,0.0,859.4038,118.04333,0.0,-17.03059959411621,False,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,0.0,6.0,0.0,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
7.0,810.14386,18.783304,17.110727310180664,319.6076,-69.8254623413086,0.0,703.98047,117.2682,0.0,-17.03059959411621,False,True,False,0,"(3, 5)",EXP1,0.3.5,0.3.5.EXP1,0.0,7.0,0.0,1.0,"[1.92, 3.84, 7.68, 15.36]","[np.float64(-2.5), np.float64(0.0), np.float64(-1.5)]"
0.0,283.85947,37.29344,0.0,1332.9283,-1149.5655517578125,0.0,661.0132,122.360306,0.0,0.0,False,False,False,1,"(3, 5)",EXP1,1.3.5,1.3.5.EXP1,0.0,0.0,-0.3457795361223241,0.7017391767628891,"[1.92, 3.84, 7.68]","[np.float64(9.5), np.float64(3.0)]"
0.5,283.85947,37.29344,0.0,,-1149.5655517578125,0.0,,,,0.0,True,False,False,1,"(3, 5)",EXP1,1.3.5,1.3.5.EXP1,0.0,0.5,0.10597865238180704,0.7017391767628891,"[1.92, 3.84, 7.68]","[np.float64(9.5), np.float64(3.0)]"
1.0,281.4766,34.79127,3.455277681350708,1795.0253,-1149.5655517578125,0.0,706.67993,121.76629,0.0,0.0,False,False,False,1,"(3, 5)",EXP1,1.3.5,1.3.5.EXP1,0.0,1.0,0.5718086105787343,0.7017391767628891,"[1.92, 3.84, 7.68]","[np.float64(9.5), np.float64(3.0)]"
1.5,283.6707,65.88354,31.169584274291992,706.7699,-1149.5655517578125,0.0,861.8747,131.13333,2.8384333,0.0,True,False,False,1,"(3, 5)",EXP1,1.3.5,1.3.5.EXP1,2.8384333,1.5,1.0362710146595604,0.7017391767628891,"[1.92, 3.84, 7.68]","[np.float64(9.5), np.float64(3.0)]"
2.0,304.39578,66.61851,20.73812484741211,754.45557,-1149.5655517578125,0.0,780.14825,129.69827,1.70306,0.0,True,False,False,1,"(3, 5)",EXP1,1.3.5,1.3.5.EXP1,1.70306,2.0,1.5136936207395177,0.7017391767628891,"[1.92, 3.84, 7.68]","[np.float64(9.5), np.float64(3.0)]"
3.0,318.7523,69.12093,14.572968482971191,873.1021,-1149.5655517578125,0.0,710.3784,126.68596,2.8384333,0.0,True,False,False,1,"(3, 5)",EXP1,1.3.5,1.3.5.EXP1,2.8384333,3.0,2.254007193086856,0.7017391767628891,"[1.92, 3.84, 7.68]","[np.float64(9.5), np.float64(3.0)]"
