,Mtb Area (µm),ID,Acquisition ID,Compound,Concentration,Strain
773968,0.0,86.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
774118,0.0,85.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
774268,0.0,82.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
774418,0.0,79.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
774710,0.0,121.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
774860,0.0,111.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
775010,0.0,108.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
775257,0.0,98.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
775486,0.0,24.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
775636,0.0,22.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
775786,0.0,18.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
775936,0.0,15.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
776086,0.0,13.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
776404,0.0,4.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
776554,0.0,61.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
776704,0.0,60.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
776982,0.0,54.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
777318,0.0,41.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
777544,0.0,130.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
777693,0.0,132.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
777841,0.0,181.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
778065,0.0,194.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
778483,0.0,322.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
779052,0.0,580.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
779367,0.0,670.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
779479,0.0,701.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
779589,0.0,715.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
779778,0.0,834.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
779879,0.0,852.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
779977,0.0,893.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
780074,0.0,900.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
780239,0.0,1004.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
780322,0.0,1031.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
780478,0.0,1124.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
780552,0.0,1143.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
780625,0.0,1163.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
780695,0.0,1201.3.1.ND0002,"(3, 1)",CTRL,EC0,UNI
780845,0.0,93.3.2.ND0002,"(3, 2)",CTRL,EC0,UNI
780995,0.0,86.3.2.ND0002,"(3, 2)",CTRL,EC0,UNI
781278,0.0,78.3.2.ND0002,"(3, 2)",CTRL,EC0,UNI
781530,0.0,71.3.2.ND0002,"(3, 2)",CTRL,EC0,UNI
781680,0.0,65.3.2.ND0002,"(3, 2)",CTRL,EC0,UNI
782219,0.0,120.3.2.ND0002,"(3, 2)",CTRL,EC0,UNI
782488,0.0,2.3.2.ND0002,"(3, 2)",CTRL,EC0,UNI
782786,0.0,98.3.2.ND0002,"(3, 2)",CTRL,EC0,UNI
783039,0.0,31.3.2.ND0002,"(3, 2)",CTRL,EC0,UNI
