"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
36,25,116,105,478,523,0
141,103,637,561,648,703,0
317,298,503,505,580,655,0
40,30,110,110,422,477,0
49,34,132,143,448,537,0
25,20,77,95,398,510,0
52,41,100,92,461,511,0
365,314,342,355,469,461,1
33,22,86,74,396,458,1
323,277,782,741,654,722,1
199,157,308,231,580,629,1
39,27,109,80,492,555,1
99,86,276,268,484,537,1
47,39,90,105,426,510,1
22,21,68,83,391,474,2
73,71,95,103,512,566,2
19,22,138,115,417,476,2
427,355,491,400,627,688,2
17,22,64,84,453,504,2
45,44,155,178,514,576,2
26,23,111,67,451,512,2
44,43,247,232,516,585,2
35,36,159,150,175,451,2
30,22,67,59,430,472,2
266,228,472,439,656,718,2
102,85,109,113,550,626,2
60,36,132,81,491,556,3
90,75,90,123,499,569,3
31,23,76,86,443,487,3
108,46,412,183,563,623,3
127,97,348,288,511,556,3
18,22,124,125,459,542,3
31,41,120,134,427,505,3
69,81,257,185,535,609,3
38,55,233,232,467,545,3
20,37,102,108,489,556,4
13,32,39,62,418,494,4
50,65,137,123,514,578,4
87,79,338,282,590,650,4
15,21,78,94,478,548,4
22,23,69,68,417,493,4
30,32,80,104,441,524,4
116,108,136,99,472,517,4
72,68,105,136,488,568,4
24,21,45,57,407,496,4
24,21,68,66,387,449,4
30,26,101,108,445,483,4
28,22,71,65,418,488,5
35,30,48,77,429,487,5
57,40,117,73,412,476,5
39,29,90,105,467,516,5
62,45,135,100,536,599,5
99,85,209,185,524,578,5
28,23,40,44,419,468,5
37,35,74,104,512,558,5
131,105,359,219,586,647,5
281,272,228,225,457,494,5
59,59,92,84,535,591,5
42,46,54,48,348,400,6
80,79,117,121,543,596,6
183,182,210,217,560,617,6
83,67,275,173,549,607,6
42,45,69,75,368,359,6
21,26,86,100,435,502,6
35,31,98,127,435,499,6
39,27,157,128,500,552,6
51,40,156,150,489,515,7
46,31,164,127,478,521,7
629,519,674,546,687,743,7
88,62,149,132,505,553,7
34,24,71,59,459,501,7
344,255,85,110,409,425,7
138,117,356,298,562,630,7
170,154,246,249,556,625,7
41,34,90,110,443,491,7
35,25,114,82,425,487,7
48,29,29,43,412,437,7
72,62,142,118,496,555,7
36,29,36,56,414,499,7
17,28,144,123,449,508,8
645,623,613,626,673,736,8
22,35,47,73,471,543,8
20,26,72,69,459,512,8
114,123,162,210,572,635,8
21,23,81,68,475,528,8
17,24,67,75,410,494,8
37,42,90,69,458,530,8
12,24,114,103,430,516,8
132,111,245,162,463,498,8
67,77,107,130,507,574,8
21,24,129,97,399,473,8
32,39,163,191,539,592,8
43,49,56,74,500,554,8
29,32,134,129,453,527,8
210,197,291,304,559,620,9
50,44,107,92,474,525,9
39,30,51,68,487,548,9
286,241,458,279,593,653,9
106,90,144,159,537,595,9
91,73,303,246,561,614,9
106,91,280,290,535,594,9
45,30,124,90,487,535,9
51,43,158,172,487,542,9
25,21,81,62,411,480,9
24,28,28,39,418,458,9
72,83,188,130,513,581,10
39,45,96,80,498,569,10
31,42,149,106,512,557,10
25,37,197,202,525,581,10
21,34,187,171,492,556,10
143,130,674,557,657,708,10
158,135,742,679,650,713,10
17,38,49,79,482,544,10
17,27,160,171,442,490,10
17,21,113,124,465,515,10
40,36,100,104,478,551,11
256,171,80,58,353,368,11
23,24,119,88,415,500,11
340,262,607,524,557,601,11
39,30,238,247,504,575,11
32,29,41,64,439,534,11
279,173,648,510,478,519,11
79,59,254,257,550,619,11
27,24,29,30,418,454,11
61,51,69,76,456,536,11
150,139,153,158,515,583,11
34,22,147,72,381,425,12
76,64,286,289,568,625,12
30,23,96,111,472,512,12
37,29,72,52,337,456,12
54,49,307,209,534,591,12
33,34,83,85,455,507,12
58,59,154,154,504,566,12
51,43,40,47,467,511,12
14,22,89,101,467,535,12
46,45,141,132,497,580,12
49,57,131,112,168,401,12
47,33,173,104,494,567,13
185,153,516,436,641,699,13
266,190,61,66,290,334,13
158,154,286,274,550,610,13
23,21,69,94,443,504,13
142,138,75,108,470,543,13
27,23,55,46,407,464,13
39,28,125,77,441,501,13
48,32,137,123,493,546,13
58,42,146,133,521,592,13
160,121,277,177,623,676,14
34,21,60,74,343,472,14
83,87,205,200,523,576,14
418,372,540,465,499,528,14
39,37,44,69,475,515,14
21,22,36,45,421,475,14
525,414,649,532,674,731,14
85,90,171,163,523,587,14
75,52,259,200,564,625,14
101,107,196,217,533,594,14
8,21,118,101,446,520,14
174,175,302,241,568,623,14
411,419,520,517,639,695,14
160,155,707,643,630,688,15
31,50,148,155,453,529,15
42,58,191,211,519,591,15
15,34,147,150,493,552,15
16,21,155,142,455,492,15
21,29,112,112,509,569,15
18,20,57,46,437,523,15
20,24,110,105,471,538,15
28,37,127,134,463,520,15
60,42,123,109,413,474,15
57,42,111,99,476,529,15
270,256,336,364,615,676,15
24,21,69,82,426,474,16
22,21,63,58,438,476,16
58,49,119,122,516,563,16
33,28,104,116,474,545,16
120,107,281,252,555,612,16
146,121,300,160,572,624,16
95,88,255,230,565,619,16
87,82,167,159,526,585,16
30,31,55,67,391,473,16
33,27,153,125,430,506,16
52,50,107,146,496,561,16
568,503,810,681,453,482,16
48,56,138,129,528,600,16
16,27,122,122,458,506,16
14,27,83,96,418,505,17
79,88,176,175,540,606,17
74,80,183,195,598,659,17
17,32,242,212,477,554,17
14,32,88,102,472,545,17
465,371,201,197,395,418,17
13,28,83,94,521,566,17
31,36,219,215,401,399,17
119,86,238,184,537,596,18
43,41,182,170,524,579,18
48,49,117,104,465,519,18
40,36,82,85,438,489,18
30,27,65,34,460,517,18
46,28,192,168,513,560,18
40,28,100,89,463,523,18
27,22,33,55,442,472,18
99,78,315,295,549,611,18
400,250,179,164,449,501,18
43,26,123,107,455,518,18
53,28,165,151,503,564,18
50,32,55,57,389,496,18
44,28,87,104,445,505,18
57,40,87,107,459,514,18
44,26,59,61,417,485,18
32,20,43,82,389,473,18
136,110,188,172,520,577,18
66,48,44,60,481,539,19
31,22,88,86,436,489,19
42,30,29,35,384,342,19
27,21,87,78,456,510,19
34,23,53,77,462,521,19
161,130,412,339,603,671,19
190,172,274,291,564,636,19
34,41,141,172,506,556,19
429,414,425,351,635,702,19
24,27,78,74,453,488,19
22,21,87,98,480,535,19
89,104,130,126,524,588,19
