"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
46,36,166,130,488,481,0
337,315,262,251,520,526,0
43,36,139,146,446,449,0
133,109,402,364,512,496,0
62,50,256,249,509,524,0
30,22,64,70,406,394,0
27,20,98,88,441,444,0
35,24,152,151,479,460,0
55,43,232,219,501,515,1
70,58,211,207,432,369,1
62,32,164,143,449,428,1
48,22,102,111,420,405,1
143,105,311,279,524,511,1
44,35,168,143,429,404,1
111,72,197,194,494,488,1
76,49,143,149,447,430,1
96,49,604,497,558,588,1
76,53,188,176,487,483,1
94,75,156,157,492,462,1
66,46,206,185,406,467,1
579,431,778,550,622,611,1
33,22,64,61,233,398,1
115,84,340,304,488,481,1
50,36,105,105,352,383,2
308,301,235,234,560,533,2
28,29,84,97,420,394,2
20,21,115,99,435,435,2
110,90,402,354,584,597,2
143,133,297,284,534,525,2
38,37,92,101,392,413,2
20,24,92,94,436,422,2
38,45,147,154,427,432,2
26,34,97,88,431,404,2
144,130,104,80,392,370,2
67,75,273,246,475,462,2
30,39,108,107,472,420,3
9,22,85,94,411,424,3
29,29,235,203,484,484,3
21,30,127,131,387,382,3
19,28,58,56,387,410,3
39,50,108,92,450,422,3
61,59,225,202,538,513,3
40,46,192,198,495,520,3
35,27,59,61,414,390,3
117,99,515,449,589,591,3
13,26,96,107,344,381,4
44,48,216,171,498,487,4
27,34,162,161,424,429,4
13,20,82,65,413,393,4
82,65,223,108,475,389,4
18,25,188,182,452,444,4
49,52,216,213,472,474,4
65,69,115,118,439,421,4
34,38,92,97,381,393,4
14,20,108,108,443,417,4
34,37,92,87,382,404,4
30,21,90,93,412,411,4
37,27,97,113,448,448,4
62,44,105,91,350,390,4
44,36,253,235,506,487,4
52,41,101,95,445,412,4
41,37,202,174,496,469,4
35,29,88,76,433,455,4
33,34,282,275,503,519,4
21,25,114,125,398,423,4
19,20,97,97,433,403,4
101,92,271,249,499,518,4
21,22,103,107,419,381,4
78,71,358,336,552,537,5
49,49,101,111,469,491,5
69,66,221,215,498,488,5
25,28,50,58,179,415,5
47,45,124,133,484,518,5
116,108,245,231,522,520,5
35,20,54,49,360,387,5
313,248,761,683,590,627,5
50,41,366,315,530,517,5
28,28,113,132,408,458,5
41,46,154,165,395,414,5
102,105,230,229,470,412,5
49,35,88,54,416,417,5
36,28,101,107,327,393,5
348,298,892,761,622,620,5
22,20,96,62,408,429,5
76,66,269,237,505,499,6
23,24,71,80,429,420,6
199,180,329,317,550,550,6
35,29,227,203,460,452,6
18,21,106,120,442,418,6
202,153,558,497,574,587,6
29,30,95,61,430,388,6
103,71,439,336,575,571,6
25,21,67,68,403,355,6
97,64,341,263,566,552,6
107,86,308,222,489,476,6
36,22,87,44,424,423,7
47,25,140,134,403,399,7
41,20,59,47,326,361,7
100,56,330,311,498,517,7
37,37,104,110,436,441,7
45,29,95,73,454,444,7
35,36,82,99,451,422,7
80,72,220,200,464,444,7
120,110,211,204,492,494,7
61,49,301,269,512,511,7
162,134,458,390,546,567,8
41,35,119,129,420,409,8
136,117,517,408,560,541,8
44,30,122,128,375,368,8
63,46,170,171,473,447,8
23,21,87,96,360,409,8
73,43,151,143,478,465,8
265,253,500,448,575,611,8
53,52,52,67,414,384,8
36,29,96,52,472,457,8
47,42,78,92,377,425,8
152,130,585,499,591,592,9
32,28,94,95,447,412,9
136,111,228,229,495,484,9
47,28,120,127,443,449,9
31,27,79,90,422,409,9
500,480,454,432,507,503,9
48,45,190,174,461,438,9
398,347,603,529,589,624,9
40,30,152,126,441,420,9
133,112,295,266,541,536,9
92,73,310,255,556,568,9
86,49,141,121,441,433,9
54,48,80,86,402,409,9
56,46,179,169,461,450,9
36,27,93,97,431,402,9
110,86,145,132,468,446,10
46,38,165,163,464,492,10
110,83,582,442,564,578,10
110,102,146,146,415,322,10
28,25,201,197,482,450,10
41,33,174,152,496,487,10
33,29,111,117,422,434,10
60,50,47,47,429,450,10
70,59,109,119,429,443,10
56,41,217,191,477,488,10
33,23,110,94,369,383,10
78,61,267,244,510,485,10
64,37,103,110,445,440,10
503,455,610,586,601,601,10
44,23,69,36,371,387,10
46,20,89,90,398,406,11
95,53,138,135,456,464,11
195,111,650,532,465,395,11
338,270,534,472,588,591,11
35,23,86,100,409,405,11
32,24,81,86,385,401,11
78,50,259,219,511,527,11
218,162,798,676,599,624,11
47,30,193,161,398,421,11
68,52,83,89,508,550,12
300,257,404,355,563,554,12
51,32,136,96,387,405,12
50,35,66,75,360,406,12
93,75,200,194,419,447,12
226,166,346,289,415,361,12
34,20,94,98,427,363,12
84,66,164,161,490,468,12
87,40,118,112,414,334,12
56,29,145,94,467,420,12
313,226,793,553,621,618,12
49,34,113,113,395,450,12
67,49,94,84,450,436,13
181,151,495,390,397,358,13
42,34,67,82,409,399,13
60,47,110,109,406,446,13
71,58,173,179,458,463,13
120,94,222,212,543,515,13
59,43,97,112,360,360,13
120,90,337,308,490,472,13
45,33,186,171,400,419,13
172,104,667,528,600,594,13
109,75,301,276,536,525,13
49,24,77,84,420,407,13
46,21,93,77,378,404,13
48,20,99,101,359,413,13
437,301,892,738,648,649,13
59,24,107,80,332,394,13
97,51,156,156,447,464,13
169,104,295,271,511,500,13
70,29,114,120,450,435,13
138,66,497,413,568,550,13
140,128,209,215,505,498,13
30,22,104,101,438,428,13
27,21,104,118,398,439,13
33,23,81,77,356,345,13
28,20,122,106,392,433,13
48,34,153,123,411,372,13
34,20,145,112,446,432,13
34,22,49,63,320,360,14
81,39,462,331,558,548,14
46,29,132,130,451,451,14
54,37,170,173,463,463,14
62,33,140,109,421,453,14
58,32,222,127,491,486,14
78,61,100,116,489,460,14
56,42,68,49,398,387,14
36,23,76,81,365,412,14
32,21,65,67,339,398,14
93,58,551,457,390,419,14
37,25,196,176,437,460,14
45,30,93,108,356,381,14
44,30,67,75,418,375,15
88,63,253,248,493,510,15
42,23,59,65,384,408,15
71,20,61,46,384,399,15
69,21,97,97,389,386,15
62,21,51,52,383,393,15
33,21,50,44,244,353,15
39,25,130,109,435,422,15
35,22,380,200,547,337,15
161,128,432,369,548,565,15
65,29,117,104,426,409,15
78,35,37,53,415,429,16
142,77,210,115,457,428,16
71,29,79,84,373,414,16
91,50,191,164,449,454,16
68,50,174,141,456,454,16
31,23,89,68,373,347,16
55,40,139,145,387,377,16
45,27,91,90,457,459,16
32,22,50,57,324,384,16
44,26,171,152,430,401,16
403,347,854,721,603,627,16
382,338,351,279,429,415,16
79,56,251,239,500,461,17
409,270,607,360,568,559,17
587,540,419,383,600,586,17
56,37,126,138,375,422,17
197,158,285,197,511,489,17
63,41,195,194,453,449,17
50,33,170,166,498,533,17
378,343,537,489,577,598,17
43,24,54,70,409,383,17
52,34,163,166,426,468,17
55,30,150,149,473,479,17
170,119,351,277,570,583,17
57,21,42,50,223,343,17
107,65,150,152,479,437,17
166,109,149,161,509,486,17
101,41,168,160,425,426,17
71,43,145,136,430,438,17
110,81,190,184,495,483,17
