"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
77,75,122,119,451,514,0
70,42,100,77,413,442,0
43,29,117,106,433,510,0
51,31,65,79,403,438,0
55,33,57,68,358,402,0
84,46,157,75,449,488,0
77,49,157,128,401,438,0
136,96,287,239,350,380,0
86,75,271,270,478,538,0
20,25,95,95,363,383,0
116,103,395,342,523,592,1
36,30,107,108,343,471,1
70,60,112,124,446,486,1
206,197,410,377,529,600,1
11,29,112,124,347,451,1
30,38,205,200,469,526,1
18,28,84,73,420,462,1
29,39,171,166,393,475,1
425,381,848,743,624,685,1
325,254,131,87,378,329,1
59,46,151,96,496,536,1
117,70,288,222,530,567,1
263,185,360,286,491,522,1
102,79,259,244,488,524,1
121,84,155,125,458,503,2
78,52,131,138,480,516,2
70,45,130,109,449,493,2
71,42,126,113,351,324,2
638,520,167,161,469,486,2
35,25,139,125,377,461,2
74,45,133,91,453,517,2
31,21,126,122,413,457,2
50,35,90,83,391,470,2
257,226,178,160,544,620,2
79,52,122,120,399,472,2
43,31,70,69,354,442,2
28,20,31,37,366,408,2
82,75,186,167,415,501,2
30,24,82,92,398,470,2
45,31,62,67,391,410,2
35,20,58,55,317,409,2
46,28,35,44,193,399,3
50,25,41,37,327,382,3
37,20,54,35,391,412,3
41,22,35,38,275,396,3
39,31,71,85,436,431,3
132,99,371,342,517,580,3
282,271,541,499,563,637,3
123,88,212,190,482,549,4
186,150,243,228,490,548,4
431,317,728,433,490,522,4
107,85,233,213,458,533,4
101,79,154,152,410,463,4
39,25,77,63,369,441,4
176,149,206,190,533,594,4
28,24,96,97,284,393,4
127,113,50,43,322,358,4
35,25,51,56,319,413,5
60,47,64,55,364,384,5
58,38,123,90,400,453,5
218,195,114,79,518,571,5
45,23,88,58,387,432,5
58,32,118,129,420,471,5
154,114,228,195,496,563,5
63,35,255,187,467,524,5
62,51,107,105,374,433,5
43,23,124,95,400,437,5
349,163,238,81,454,487,5
31,20,72,58,283,376,5
198,184,291,299,473,544,5
46,26,50,63,381,438,6
30,34,115,109,397,421,6
187,170,557,506,565,643,6
33,22,53,51,360,425,6
53,48,117,86,390,349,6
38,28,110,92,384,461,6
20,20,61,52,344,407,6
119,96,192,111,490,526,6
45,31,52,55,293,409,6
275,205,581,504,581,647,6
31,25,46,44,354,401,6
127,99,125,147,414,498,6
29,20,66,70,384,401,7
21,25,90,100,354,466,7
15,22,106,105,417,500,7
411,298,187,153,459,488,7
52,44,111,113,424,493,7
32,22,66,71,315,392,8
64,47,202,178,427,513,8
35,22,67,85,371,421,8
100,54,183,101,440,485,8
61,44,204,157,473,531,8
56,52,110,95,386,439,8
30,21,64,58,341,415,8
