"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
11,69,49,103,0,0,0
124,162,18,59,0,0,0
17,62,73,88,0,480,0
73,127,32,88,0,0,0
667,597,196,165,632,740,1
67,139,54,108,0,0,1
266,268,139,90,598,727,1
23,59,150,147,537,618,1
89,160,146,104,529,637,1
36,68,141,94,528,630,1
0,25,67,64,483,481,1
0,40,139,61,522,552,1
428,443,158,117,624,716,1
305,279,117,139,625,727,1
109,170,109,59,504,522,1
270,383,169,154,533,548,1
468,419,117,109,592,683,2
231,222,104,69,564,670,2
183,258,64,110,380,0,2
91,180,112,78,499,552,2
774,434,134,89,639,737,2
315,417,148,168,0,552,2
355,329,236,121,650,723,2
84,147,185,113,621,682,3
9,45,25,46,0,0,3
6,52,45,62,306,0,3
388,393,147,94,588,687,3
331,307,74,91,502,621,3
248,230,71,66,0,0,3
0,39,45,106,0,0,3
257,186,107,79,533,658,3
0,50,19,33,364,0,3
209,190,156,92,549,584,3
57,134,62,109,420,587,3
44,114,27,100,0,0,3
22,47,23,57,0,0,3
214,209,63,90,500,579,3
0,27,108,103,500,342,3
215,220,99,64,471,608,4
338,251,131,138,602,700,4
714,445,316,225,733,825,4
281,214,178,102,637,741,4
412,471,150,187,629,731,4
491,501,205,178,661,761,4
38,70,41,101,0,0,4
215,328,151,164,391,504,4
207,232,132,88,421,618,4
60,99,207,115,615,680,4
0,25,43,52,466,465,4
19,71,74,90,377,599,4
418,459,177,91,640,738,4
34,73,27,67,0,445,5
900,385,278,141,706,810,5
0,31,62,40,0,0,5
12,41,23,50,0,0,5
113,183,79,129,0,0,5
16,78,74,71,0,0,5
130,160,117,90,578,707,5
144,221,110,69,487,607,5
53,109,110,121,0,429,5
285,379,75,90,450,554,5
64,121,132,101,284,507,5
145,225,79,150,189,583,5
381,239,162,124,650,743,5
0,37,97,108,483,583,5
76,77,61,53,0,0,5
259,186,84,110,0,518,6
77,143,54,101,494,550,6
0,35,33,54,228,324,6
607,293,214,140,661,752,6
858,693,211,176,667,790,6
5,59,37,78,0,0,6
664,667,177,157,689,801,6
287,383,126,153,608,718,6
718,436,233,144,713,822,6
32,87,70,64,432,442,6
622,582,185,157,656,761,6
414,423,207,104,601,683,6
586,551,193,149,671,779,6
23,87,24,82,0,0,6
557,463,167,162,662,771,7
231,254,132,93,572,653,7
61,91,131,91,473,583,7
722,589,210,127,677,780,7
783,797,198,201,687,799,7
91,156,103,125,580,715,7
450,313,153,144,667,797,7
96,170,101,91,423,413,7
61,118,129,91,537,625,7
666,427,181,126,640,759,7
12,71,18,91,401,562,7
423,473,132,132,585,679,7
81,126,44,56,556,634,7
222,165,113,112,418,590,7
395,456,115,152,573,715,7
823,345,144,65,665,773,7
581,519,152,142,589,695,7
243,276,140,120,583,702,7
92,176,28,56,0,0,7
239,229,147,98,637,754,7
4,45,131,96,551,631,7
107,164,79,93,471,589,7
170,215,27,83,0,0,8
491,281,231,146,689,796,8
125,159,59,98,0,0,8
279,340,95,129,551,628,8
166,232,38,67,522,631,8
467,264,181,55,623,693,8
77,96,110,87,587,720,8
25,81,99,79,427,243,8
8,50,73,63,476,610,8
194,220,87,53,527,659,9
232,244,105,81,567,678,9
432,486,126,140,585,687,9
80,150,51,74,0,511,9
62,141,26,67,219,0,9
216,314,63,113,0,0,9
696,255,207,87,673,776,10
261,281,133,98,519,620,10
