"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
132,52,117,46,631,760,0
32,27,13,30,341,361,0
93,62,114,100,680,801,0
84,75,28,43,481,598,0
83,42,94,52,613,706,0
76,58,33,38,566,673,0
65,48,42,35,578,725,0
28,23,25,37,398,518,0
174,150,89,70,653,779,0
206,175,86,87,663,788,0
38,24,48,32,505,583,0
110,82,23,27,587,703,0
41,22,41,19,541,604,0
301,237,197,147,747,915,0
20,27,3,20,278,266,0
58,29,66,39,589,695,0
37,44,36,40,489,567,0
9,20,1,14,321,0,0
31,32,12,19,483,579,0
30,21,31,22,503,557,0
31,21,38,28,507,585,0
41,33,42,23,543,623,0
97,98,44,50,555,614,0
299,234,203,151,738,902,0
71,60,63,49,583,711,0
36,50,32,62,389,380,0
130,71,138,61,678,821,0
28,27,37,25,552,641,0
94,88,71,60,603,737,0
29,24,33,28,581,656,1
218,173,190,148,734,894,1
57,52,47,40,540,675,1
46,31,61,35,579,679,1
21,28,8,23,0,0,1
103,86,128,111,679,809,1
71,70,18,39,583,699,1
18,23,8,10,211,428,1
15,21,22,21,386,389,1
35,42,22,24,533,584,1
62,39,77,50,627,746,1
522,347,520,297,857,1023,1
138,123,136,128,682,812,1
79,78,33,46,505,611,1
109,108,49,52,568,654,1
366,307,275,236,774,942,1
69,55,74,57,609,723,1
70,58,40,31,522,616,1
795,593,562,478,888,1023,1
62,60,2,25,553,653,1
115,73,105,51,663,793,1
56,22,20,16,447,546,1
25,22,9,18,0,0,1
207,154,109,81,661,781,1
48,38,30,27,531,616,1
36,24,36,21,505,604,1
61,39,57,45,539,654,1
215,186,136,126,692,828,1
74,45,27,26,540,628,1
549,454,379,305,793,967,1
22,20,1,20,0,0,1
41,33,29,25,457,526,1
197,170,143,133,644,778,1
25,20,18,27,294,487,1
36,20,21,13,302,443,1
22,21,0,10,0,0,1
38,24,38,22,508,609,1
39,22,44,22,542,598,1
44,22,41,20,502,608,1
538,373,385,247,848,1023,1
55,49,47,57,469,521,1
46,26,51,25,497,623,1
74,51,61,51,549,645,1
120,112,20,43,480,581,1
43,24,19,23,445,566,1
35,29,26,31,515,608,1
83,62,46,29,656,773,1
42,21,53,27,544,621,1
37,27,58,33,539,665,1
73,55,61,57,556,623,1
42,34,25,34,477,605,1
40,31,34,33,461,517,1
61,37,60,42,546,648,1
38,26,27,29,400,574,1
53,35,59,40,528,628,1
40,28,28,28,478,581,1
24,26,16,33,224,291,2
39,33,31,41,438,564,2
40,24,67,47,593,712,2
38,30,31,31,418,561,2
51,38,47,43,537,644,2
51,36,28,26,538,607,2
84,61,68,52,495,628,2
39,22,8,13,224,329,2
179,101,110,65,622,754,2
27,20,3,14,0,0,2
57,38,62,30,527,616,2
209,103,106,71,655,780,2
36,29,8,11,267,379,2
114,65,90,50,612,741,2
28,23,25,24,405,394,2
32,25,15,20,349,437,2
41,21,43,24,529,616,2
158,77,74,30,652,784,2
74,54,72,50,595,712,2
42,35,18,16,521,586,2
60,37,52,27,563,687,2
87,66,52,36,563,643,2
67,44,92,56,655,786,2
35,24,20,12,427,492,2
44,30,30,23,488,551,2
34,26,38,43,520,618,2
59,23,51,27,524,644,2
168,71,179,67,709,854,2
225,207,136,121,671,802,2
37,39,34,37,490,576,2
144,86,150,86,699,844,3
141,114,104,78,657,795,3
22,20,2,16,0,0,3
60,39,102,71,645,747,3
56,51,51,56,576,681,3
75,61,47,56,623,756,3
37,30,38,33,579,642,3
99,35,85,32,590,715,3
80,36,47,24,485,530,3
90,62,56,30,603,703,3
200,105,150,76,706,854,3
56,40,65,53,523,653,3
194,80,173,69,709,869,3
29,27,25,18,452,544,3
102,44,132,48,631,773,3
35,38,32,37,465,540,3
54,60,49,60,532,642,3
83,82,23,22,557,624,3
22,26,40,20,482,585,3
20,20,34,24,511,527,3
24,32,0,14,0,254,3
86,31,70,26,628,766,3
69,50,66,44,564,691,3
27,20,57,38,580,636,3
34,24,30,20,382,518,3
41,29,47,39,527,662,3
21,23,18,22,161,413,3
139,106,119,86,700,835,3
38,25,52,36,540,621,3
46,34,38,33,545,663,3
28,33,19,26,485,596,3
199,132,190,116,716,855,3
31,24,28,17,460,582,3
23,22,30,31,442,453,3
98,89,77,78,654,783,3
24,28,31,25,463,480,3
28,48,11,29,351,243,3
27,23,92,56,648,741,3
137,137,127,98,689,833,3
23,24,22,18,516,606,3
70,57,67,34,593,694,3
71,51,57,42,569,671,3
51,34,29,23,503,621,3
43,25,17,22,482,587,3
29,26,32,25,502,601,3
68,43,81,45,576,697,3
85,46,56,32,623,729,3
32,31,80,44,558,669,3
53,37,72,54,575,710,3
73,46,51,27,596,699,3
55,30,69,31,555,658,3
94,79,95,79,616,735,3
292,223,220,174,773,931,3
8,20,15,25,0,248,3
55,49,68,37,628,740,3
99,95,80,78,627,773,3
446,397,295,268,782,946,3
114,111,71,97,598,732,3
132,112,132,119,684,826,3
106,98,28,38,571,675,4
62,46,38,20,508,615,4
98,73,87,68,632,750,4
29,29,6,32,0,0,4
202,124,99,72,697,844,4
30,23,18,21,365,492,4
80,41,82,31,618,725,4
50,23,50,27,479,521,4
35,20,54,30,517,632,4
31,24,0,9,0,0,4
71,50,36,34,514,603,4
31,27,6,22,379,375,4
95,52,42,28,579,690,4
128,90,102,70,642,776,4
38,22,34,24,426,560,4
55,37,43,34,527,606,4
37,27,27,24,501,573,4
44,28,22,15,466,558,4
34,20,47,34,294,480,4
44,26,51,24,534,647,4
25,23,4,20,0,230,4
48,29,52,33,540,616,4
59,44,31,32,521,625,4
49,30,50,29,501,587,4
77,50,64,38,620,731,4
45,26,86,61,593,726,4
62,32,43,33,460,573,4
42,40,15,33,0,103,4
200,158,127,117,722,877,4
118,58,67,37,605,710,4
29,24,43,33,477,516,4
55,43,10,23,486,584,4
63,41,82,31,566,687,4
69,36,54,27,572,656,4
46,27,37,27,542,646,4
70,41,87,60,584,696,4
114,45,139,52,647,768,4
29,22,10,22,0,0,4
48,22,42,30,510,582,4
34,29,34,42,465,559,4
30,27,20,33,497,515,4
1023,723,779,502,907,1023,4
27,30,0,21,411,402,4
38,38,0,25,0,0,4
47,24,48,27,514,622,4
50,27,44,20,518,567,4
357,223,391,290,826,996,4
90,36,112,39,642,763,4
106,78,113,101,671,805,4
46,34,68,61,577,665,4
81,63,64,60,585,689,4
52,27,60,46,576,647,4
77,66,33,52,512,591,4
37,21,17,23,366,426,4
41,24,47,29,488,589,4
46,28,52,39,524,602,4
25,21,29,41,304,31,4
30,22,32,31,435,478,4
74,38,64,31,591,696,5
82,36,64,24,592,692,5
172,142,97,113,703,843,5
74,51,53,37,558,671,5
60,26,48,27,561,652,5
109,50,84,51,619,722,5
54,29,64,43,511,571,5
129,72,155,77,645,776,5
33,23,33,29,441,542,5
92,84,26,43,500,584,5
54,39,20,26,506,603,5
59,38,39,30,550,636,5
24,20,0,9,270,261,5
52,31,39,32,543,620,5
29,22,2,11,174,322,5
28,20,20,24,503,502,5
115,94,49,39,622,722,5
33,21,16,17,344,489,5
54,43,39,33,423,562,5
69,33,71,32,553,642,5
39,28,21,21,490,547,5
1023,866,943,682,997,1023,5
415,309,484,389,854,1023,5
52,48,55,45,512,626,5
