"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
57,56,127,102,754,861,0
22,24,31,28,672,752,0
165,148,114,84,774,889,0
364,160,457,194,906,1023,0
69,80,169,160,662,755,0
7,25,37,64,641,680,0
861,575,859,543,1023,1023,0
11,29,37,46,635,722,0
87,57,109,53,786,894,0
31,31,83,43,746,823,0
97,112,119,122,777,894,0
38,42,64,51,693,770,0
113,88,159,112,815,931,0
119,87,81,83,812,918,0
578,234,539,181,931,1023,0
16,22,58,49,676,758,0
30,50,34,43,636,672,0
100,58,135,93,796,907,0
73,77,124,116,744,840,0
117,101,129,86,776,867,0
16,31,44,71,658,730,0
14,33,76,100,644,697,0
92,90,109,101,749,848,0
83,93,100,103,762,853,0
61,65,74,64,705,791,0
15,24,40,43,599,681,0
6,21,41,48,620,695,0
191,161,182,176,833,959,0
92,74,63,51,712,810,0
45,33,84,39,741,815,1
131,112,156,125,823,931,1
78,63,144,55,761,846,1
185,170,121,128,821,932,1
51,61,71,61,731,840,1
844,629,535,433,969,1023,1
28,44,17,45,620,686,1
110,115,119,131,772,891,1
258,193,179,105,825,931,1
203,168,49,35,777,871,1
82,82,51,39,686,751,1
148,136,192,150,806,923,1
16,21,32,36,574,640,1
10,25,8,28,501,572,1
40,40,30,31,667,715,1
15,23,10,24,551,597,1
99,99,84,96,745,830,1
111,96,102,74,778,874,1
55,54,69,68,727,820,1
30,31,36,33,638,688,1
60,37,74,50,712,778,1
14,30,0,41,526,577,1
146,119,190,177,830,952,1
276,175,242,180,884,1018,1
161,163,116,113,750,840,1
23,39,0,22,465,604,1
19,30,18,30,630,720,1
23,21,41,34,619,676,1
46,52,8,29,650,731,1
58,41,161,120,792,873,2
32,39,22,29,678,768,2
16,32,11,44,581,654,2
120,122,180,149,805,917,2
47,56,76,53,709,784,2
105,90,146,101,768,863,2
5,21,0,18,361,452,2
13,32,0,31,492,493,2
48,33,49,33,715,780,2
701,482,669,457,969,1023,2
97,84,137,63,785,878,2
52,54,5,26,692,765,2
10,24,5,25,613,652,2
47,53,44,60,657,732,2
8,23,5,26,530,601,2
880,595,827,559,1018,1023,2
24,37,101,82,705,791,2
4,21,11,39,541,607,2
27,50,27,55,570,664,2
73,90,60,96,680,742,2
40,42,36,32,725,800,2
80,101,0,32,675,723,2
43,62,40,66,685,775,2
194,180,103,101,820,923,2
249,117,288,134,843,962,2
76,42,152,55,778,874,2
