"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
33,26,95,58,494,578,0
35,26,66,56,458,543,0
48,27,74,45,476,574,0
59,40,138,103,523,614,0
109,54,217,89,572,659,0
40,26,126,76,519,584,0
33,23,32,29,409,510,0
29,22,83,68,463,548,0
20,20,47,42,408,468,1
24,21,50,46,398,502,1
161,46,377,129,630,717,1
85,51,326,211,607,691,1
40,21,137,91,518,608,1
74,32,294,123,570,662,1
28,20,71,47,462,553,1
56,47,105,94,507,589,1
62,30,196,93,564,652,1
145,65,444,256,647,732,1
81,35,211,107,543,626,1
79,50,181,124,550,636,1
53,25,84,46,498,588,1
32,27,49,44,438,526,1
222,75,664,262,702,788,1
195,94,619,366,719,801,1
25,24,31,37,432,534,1
30,23,59,42,431,524,1
126,48,549,247,669,753,1
29,24,76,63,474,560,1
77,44,146,78,520,601,1
31,20,49,32,423,500,1
267,105,633,290,687,783,1
102,64,217,152,597,680,1
41,25,101,54,505,589,1
170,73,590,297,690,777,1
555,141,991,237,795,880,1
29,25,52,46,425,509,1
16,21,22,35,391,455,1
34,24,58,37,469,551,1
36,27,76,57,455,545,2
37,22,107,82,502,583,2
38,21,72,45,467,555,2
60,36,93,65,506,594,2
51,36,95,70,505,588,2
21,22,43,41,414,510,2
38,31,49,41,440,516,2
25,21,44,41,429,515,2
31,25,70,64,477,567,2
28,30,33,46,392,473,2
33,24,67,49,453,530,2
22,20,58,49,421,499,2
25,23,46,54,420,517,3
19,22,20,29,365,493,3
34,20,53,34,451,558,3
41,27,110,77,482,564,3
24,20,63,45,472,559,3
40,30,94,69,496,582,3
30,23,39,33,414,494,3
45,27,72,44,460,540,3
32,22,59,28,447,533,3
258,84,735,340,748,839,3
26,26,24,26,390,463,3
32,22,65,46,448,529,3
33,23,70,50,445,545,3
48,30,104,67,497,584,3
47,31,99,69,498,596,3
48,30,64,39,466,557,3
19,25,17,33,259,378,3
63,38,268,190,587,673,3
46,30,111,87,507,591,3
23,21,33,32,379,462,3
28,20,54,29,436,510,3
43,32,86,58,471,560,3
25,22,50,42,421,506,4
49,31,88,53,485,563,4
34,24,68,50,472,550,4
65,39,157,106,539,624,4
32,22,51,42,442,516,4
42,27,105,75,498,581,4
22,20,55,27,431,506,4
20,21,44,55,414,497,4
37,26,71,56,458,562,4
36,25,74,59,482,565,4
39,27,66,41,469,563,4
26,21,45,30,430,504,4
42,23,57,23,451,538,4
92,65,211,158,578,667,4
27,22,48,49,435,525,4
22,24,37,40,385,493,4
17,20,17,32,390,460,4
39,28,134,110,522,608,4
30,22,54,42,433,507,4
33,29,88,75,469,555,5
53,42,123,104,508,585,5
44,26,87,62,506,587,5
88,43,223,117,569,655,5
29,24,67,63,475,557,5
38,20,83,42,476,563,5
24,20,53,42,413,507,5
37,30,52,43,430,531,5
70,44,182,118,558,644,5
25,21,41,35,423,502,5
41,31,134,100,494,580,5
75,30,363,149,579,663,5
51,32,146,107,526,627,5
28,21,45,29,416,496,5
59,35,121,87,501,585,5
59,27,124,68,528,613,5
34,21,83,65,465,562,6
20,20,24,19,358,441,6
67,34,189,120,547,636,6
48,28,128,78,511,594,6
19,21,24,35,356,450,6
40,26,48,45,447,531,6
29,20,59,36,447,534,6
38,26,85,55,459,547,6
33,29,85,79,467,558,6
21,21,38,32,403,510,6
193,73,589,260,688,776,6
25,24,44,43,385,468,6
47,25,74,37,441,541,6
41,31,87,77,479,567,6
46,31,172,122,539,623,6
48,25,168,92,556,642,6
23,24,38,45,365,471,6
29,20,37,23,433,524,6
70,38,143,66,533,626,7
64,35,96,45,489,564,7
25,20,54,44,452,527,7
40,32,90,71,485,566,7
86,51,207,140,570,660,7
32,20,106,75,499,576,7
25,20,51,42,415,512,7
220,81,629,239,689,773,7
33,21,86,58,464,548,7
40,27,128,79,518,601,7
31,24,71,52,447,543,7
63,35,123,73,527,602,7
32,24,92,61,485,574,7
31,24,79,56,455,531,7
40,32,65,51,461,547,7
29,22,63,57,453,543,7
39,24,86,56,505,584,7
42,23,134,79,514,601,7
38,29,91,64,475,557,7
30,21,63,47,439,523,7
33,28,81,77,472,558,7
34,27,48,45,441,521,7
57,38,56,37,466,555,7
50,34,219,161,574,659,8
39,37,59,61,454,536,8
22,22,30,37,385,471,8
31,24,67,48,468,561,8
69,42,150,99,527,616,8
18,21,27,31,349,437,8
28,24,47,39,451,527,8
71,44,170,101,560,642,8
50,32,80,58,473,580,8
107,49,256,139,580,665,8
38,22,83,45,455,544,8
47,27,82,51,474,556,8
31,28,99,88,491,576,8
45,28,125,93,514,600,8
51,31,185,141,547,635,8
61,32,184,137,539,628,8
33,23,88,68,482,571,8
35,27,119,95,481,572,8
21,20,32,35,406,481,8
42,31,79,53,478,571,8
56,31,225,127,557,648,8
43,27,75,38,469,546,8
62,34,223,142,573,657,8
58,34,116,77,532,620,8
39,29,100,78,485,578,8
65,36,171,108,534,626,8
45,29,108,59,489,569,8
45,34,42,29,457,546,8
39,27,85,51,492,575,9
72,40,208,137,562,651,9
105,69,210,102,581,663,9
67,27,282,139,598,684,9
43,25,71,46,459,548,9
117,58,439,254,632,716,9
79,48,473,273,645,737,9
73,46,240,173,579,665,9
60,37,127,84,509,601,9
45,23,96,54,500,583,9
25,21,36,27,426,498,9
21,23,32,35,381,441,9
77,34,173,95,543,627,9
134,53,535,240,669,751,9
69,38,258,173,582,670,9
58,38,108,69,496,591,9
103,44,318,165,596,682,9
27,23,28,24,366,466,9
84,52,307,217,603,688,9
177,81,489,212,669,752,9
127,63,411,227,625,711,9
43,29,137,103,503,590,9
35,23,71,57,459,550,9
47,30,88,58,470,545,9
44,23,42,24,441,518,9
319,106,733,204,697,781,9
23,20,38,38,395,483,9
49,32,89,53,473,562,9
33,22,69,47,452,544,9
151,53,632,239,663,750,9
44,31,88,61,482,558,9
31,21,70,46,463,526,9
23,20,71,62,460,542,9
53,33,138,97,541,636,9
21,22,32,38,359,460,9
65,47,168,131,540,617,10
18,20,24,33,349,473,10
26,28,49,50,406,505,10
33,24,56,49,454,545,10
23,21,58,54,433,518,10
32,22,60,45,455,538,10
59,31,158,78,539,628,10
41,27,141,96,534,622,10
53,26,103,53,501,582,10
71,40,228,133,578,663,10
25,21,39,38,434,502,10
31,21,20,15,393,489,10
30,21,47,38,445,522,10
23,22,32,34,406,478,10
97,62,291,200,597,685,10
37,26,93,64,475,561,10
62,27,96,36,496,566,10
89,49,243,150,577,668,10
67,37,95,60,487,568,10
15,20,13,26,315,448,10
169,73,411,157,631,716,10
46,25,71,37,453,560,10
24,20,47,36,408,482,11
44,33,112,83,516,601,11
101,50,389,205,632,719,11
23,24,28,32,393,499,11
107,69,306,198,598,682,11
17,21,41,53,368,492,11
60,25,223,107,574,657,11
156,70,447,207,649,734,11
54,41,145,109,522,602,11
53,31,171,102,541,621,11
160,57,608,297,692,776,11
31,24,51,35,423,514,11
204,82,693,268,700,785,11
226,69,720,336,726,811,11
377,88,812,211,710,796,11
100,47,394,230,645,725,11
85,43,198,96,576,658,11
38,26,70,60,458,553,11
26,25,37,41,407,492,11
38,30,42,35,412,490,11
241,83,786,293,733,819,11
27,24,39,36,414,498,11
35,26,69,58,450,534,11
19,21,21,30,389,469,11
24,20,58,52,452,537,11
28,22,42,39,419,502,11
27,20,50,34,410,503,11
27,22,50,40,431,495,11
40,23,100,70,482,574,11
52,35,166,117,540,622,11
83,42,307,188,590,671,11
21,20,36,39,447,520,12
51,26,95,50,483,576,12
66,37,527,248,638,724,12
16,20,15,25,349,430,12
33,27,51,41,436,529,12
16,20,26,39,370,481,12
28,22,60,50,431,500,12
30,21,64,36,440,520,12
37,22,162,92,514,604,12
22,21,37,40,372,480,12
46,31,92,70,497,577,12
25,20,38,42,394,501,13
27,21,53,47,454,522,13
60,36,112,61,500,590,13
45,36,80,65,478,567,13
40,31,127,95,520,600,13
30,22,71,51,453,538,13
34,29,91,88,453,554,13
31,24,53,45,441,520,13
45,27,138,105,524,610,13
33,20,48,30,431,535,13
22,20,54,49,423,524,13
58,32,106,59,493,581,13
40,33,63,59,467,549,13
32,24,48,37,411,513,14
71,41,101,61,493,582,14
27,22,40,26,409,479,14
43,30,47,38,466,555,14
26,22,102,89,481,582,14
37,24,58,27,456,536,14
32,20,91,54,497,574,14
63,41,177,119,536,622,14
97,49,332,173,605,686,14
23,21,32,23,394,487,14
38,28,123,94,497,581,14
34,21,89,60,474,565,14
38,31,98,83,496,584,14
46,35,109,87,508,597,14
44,22,134,78,537,623,14
70,41,209,131,566,650,14
18,22,13,24,309,427,15
68,43,116,67,524,614,15
27,25,50,39,420,505,15
33,24,33,22,395,484,15
28,20,58,41,450,528,15
69,27,239,109,554,637,15
224,92,641,306,715,802,15
53,22,287,141,584,670,15
36,24,78,55,484,569,15
52,25,99,44,466,551,15
71,44,230,121,584,666,15
26,20,26,22,401,484,15
35,21,100,62,470,559,15
171,61,452,176,653,737,15
54,33,118,73,498,581,15
60,34,135,95,523,603,15
32,24,74,54,444,532,15
150,56,319,145,626,712,15
20,21,32,31,395,480,15
27,20,25,31,381,503,15
33,20,84,54,455,537,15
23,20,42,38,408,476,15
38,24,130,81,493,577,15
27,21,56,44,425,492,15
26,20,58,47,455,542,15
42,31,64,55,465,559,15
56,45,70,56,464,546,15
31,27,41,44,433,526,15
28,24,46,45,415,499,15
45,23,94,54,483,561,16
42,24,85,48,483,592,16
43,26,87,54,472,560,16
51,30,96,54,493,576,16
30,30,78,78,477,550,16
40,30,127,113,510,600,16
83,38,385,216,614,699,16
17,21,22,35,385,477,16
56,45,111,87,503,595,16
50,23,118,57,508,592,16
44,24,115,64,502,587,16
40,28,88,67,482,561,16
57,27,279,166,585,672,16
49,35,84,58,499,586,16
83,37,250,130,583,672,16
68,51,170,145,547,635,16
26,20,103,79,486,568,16
63,38,326,212,598,688,16
49,35,123,91,516,600,16
21,20,31,31,368,462,16
37,23,55,20,444,521,16
20,20,23,29,336,471,16
110,53,364,189,630,718,16
47,33,77,61,495,582,16
67,33,227,124,577,662,16
36,29,63,57,456,535,16
39,26,219,131,543,622,16
230,85,759,410,775,861,16
114,60,455,292,643,730,16
45,25,125,84,502,589,16
68,30,288,125,582,666,16
271,109,490,161,658,743,16
39,28,90,64,489,567,16
38,30,65,59,444,521,16
61,35,208,152,563,647,16
117,60,338,214,623,711,16
26,23,55,49,457,542,16
27,22,77,74,452,540,16
40,25,99,81,482,594,16
21,23,36,40,384,477,16
