"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
98,37,480,204,733,739,0
41,20,68,30,479,456,0
129,49,343,130,633,627,0
70,24,187,64,578,566,0
39,21,121,52,515,537,1
68,27,217,84,578,571,1
146,58,358,143,638,629,1
57,33,159,95,563,537,1
77,35,182,70,502,553,1
111,34,286,74,598,582,1
126,64,525,212,723,754,1
21,22,28,38,506,459,1
43,23,61,41,522,483,1
20,24,33,48,476,520,1
76,25,233,92,634,630,1
44,24,95,52,509,529,1
50,23,146,54,536,533,1
74,27,226,74,565,539,1
48,28,128,64,515,533,1
70,28,228,125,644,654,1
17,20,56,51,458,512,2
71,31,176,52,564,569,2
120,40,355,106,680,688,2
42,20,115,56,487,532,2
86,34,259,86,536,545,2
36,25,86,52,462,481,2
28,20,55,30,514,503,2
34,31,53,34,496,532,2
36,22,62,33,514,511,2
69,25,175,50,550,583,2
56,21,203,66,568,545,2
44,23,154,77,501,439,2
64,35,174,77,537,526,2
24,23,68,64,546,503,2
53,28,131,49,512,537,2
57,23,147,63,602,609,2
43,21,174,85,551,544,2
214,60,722,363,827,839,2
49,29,97,62,579,581,2
17,20,44,40,477,461,3
72,23,214,87,599,602,3
35,26,118,70,509,534,3
44,23,175,80,508,523,3
52,22,91,39,495,513,3
30,20,47,49,507,559,3
30,24,26,28,510,493,3
44,30,108,89,569,576,3
67,31,245,111,608,604,3
33,20,93,60,531,573,3
61,22,144,51,594,597,4
59,28,197,84,544,517,4
65,29,168,80,591,601,4
39,25,83,34,509,511,4
118,51,403,150,656,678,4
39,22,130,65,479,525,4
97,55,324,149,638,634,4
30,26,83,82,595,609,4
44,31,126,117,584,617,4
91,42,284,136,605,618,4
51,23,152,62,575,568,4
53,27,176,74,540,534,4
88,37,273,104,606,613,4
291,73,725,196,743,744,4
106,33,228,62,577,558,4
36,27,103,76,560,563,4
25,25,89,101,567,599,4
49,28,111,53,509,532,5
77,37,220,97,632,620,5
57,28,232,102,569,572,5
90,43,263,118,604,612,5
57,23,203,79,503,531,5
45,24,158,102,629,634,5
42,22,86,42,579,563,5
45,23,111,62,531,563,5
51,29,134,87,608,611,5
403,67,1000,222,759,747,5
32,24,51,59,517,584,5
41,26,99,51,558,513,5
50,31,134,54,565,571,5
70,30,179,91,564,556,5
42,21,109,45,509,514,6
53,32,160,73,595,589,6
50,38,135,110,609,616,6
108,35,305,94,591,601,6
21,20,30,27,439,438,6
36,24,77,52,552,547,6
275,62,775,189,749,741,6
125,50,413,148,658,644,6
40,21,157,74,551,524,6
30,22,62,36,545,494,6
55,25,86,56,558,594,6
62,26,201,74,576,571,6
30,22,88,62,539,566,7
105,33,361,108,628,616,7
52,28,117,53,541,539,7
63,27,150,55,483,528,7
25,27,40,59,528,503,7
28,20,44,23,502,513,7
133,47,344,110,651,644,7
31,26,70,58,539,522,7
78,27,346,146,631,648,7
61,26,191,61,532,514,7
46,24,101,53,552,538,7
45,20,141,40,533,537,7
111,43,349,134,626,618,7
44,23,154,87,602,590,8
18,20,28,33,463,448,8
36,20,72,43,498,417,8
49,22,157,58,527,522,8
28,20,52,39,499,455,8
31,23,43,35,507,470,8
81,45,211,106,563,582,8
81,30,195,46,582,573,8
52,29,130,67,544,538,8
40,21,103,54,492,502,8
30,23,111,83,601,613,8
46,21,123,46,513,550,8
36,27,97,59,524,551,9
24,20,57,43,508,508,9
89,41,282,136,637,636,9
35,21,82,40,517,495,9
32,21,128,74,486,455,9
52,29,116,69,608,609,9
31,21,81,50,513,476,9
59,22,139,49,578,592,9
26,24,44,30,488,484,9
66,28,201,66,568,564,9
140,45,404,111,642,631,9
43,29,181,126,631,624,9
43,21,100,39,546,528,10
103,35,320,153,668,695,10
43,30,91,59,428,507,10
57,22,214,81,585,569,10
42,22,124,77,568,554,10
199,72,681,335,805,830,10
47,23,117,44,500,513,10
35,21,93,60,534,549,10
88,50,338,236,679,728,10
106,41,270,96,589,614,10
123,47,454,216,701,702,10
59,29,188,65,547,547,10
39,24,120,62,569,577,11
38,20,106,44,569,572,11
25,20,62,48,460,451,11
315,54,899,231,766,762,11
63,30,199,81,561,576,11
94,46,319,155,584,567,11
79,26,180,72,516,544,11
55,29,142,65,568,584,11
37,20,120,73,581,576,11
38,22,134,106,570,594,11
41,23,139,58,520,557,11
33,22,125,73,514,519,11
50,27,213,109,580,596,11
32,20,39,34,476,546,11
56,37,116,80,530,557,11
41,24,127,49,512,538,11
85,30,260,84,613,608,12
51,25,137,47,551,553,12
96,31,240,76,633,635,12
76,47,240,142,538,559,12
37,21,74,50,519,489,12
22,20,44,35,454,514,12
86,34,274,127,640,661,12
14,20,37,43,444,502,12
25,28,58,69,551,578,12
13,20,17,35,373,363,13
75,22,195,74,527,540,13
114,49,299,123,626,625,13
22,22,30,27,496,530,13
83,23,247,57,559,548,13
269,87,632,312,794,806,13
77,35,202,98,599,612,13
65,42,158,77,526,525,13
88,41,171,59,595,578,13
119,49,281,100,615,609,13
151,53,409,137,660,660,13
18,20,32,27,472,454,13
14,20,13,27,368,295,13
37,20,103,59,539,542,14
36,21,50,26,522,480,14
102,34,289,121,563,560,14
74,28,230,65,536,567,14
32,23,72,57,566,582,14
13,20,13,24,455,437,14
48,28,153,70,528,512,14
50,23,120,52,496,536,14
41,21,130,53,569,549,14
29,21,48,40,553,553,14
64,36,225,127,575,590,14
49,20,155,79,589,587,14
70,23,224,44,567,567,14
64,26,191,95,577,586,15
219,77,489,173,691,679,15
132,39,384,102,652,631,15
39,23,119,69,556,560,15
42,20,355,218,687,696,15
19,20,28,36,511,358,15
30,23,68,36,459,514,15
60,29,215,71,578,542,15
47,25,146,61,530,508,15
106,35,304,95,641,665,15
63,23,171,58,617,635,15
41,21,145,71,551,547,15
37,20,120,51,496,500,15
98,39,295,113,619,631,15
49,26,139,65,568,552,15
