"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
48,29,125,81,578,593,0
28,21,79,62,536,544,0
19,20,19,28,409,435,0
76,41,194,97,593,613,0
71,32,128,51,583,592,0
108,41,214,72,622,637,0
21,21,40,30,456,489,0
30,26,108,71,527,546,0
30,27,126,97,549,553,0
43,24,103,51,564,572,1
40,25,78,66,548,551,1
38,30,99,68,561,572,1
48,23,62,28,511,530,1
40,26,101,60,543,552,1
45,35,114,82,550,571,1
30,34,46,51,467,511,1
44,21,68,38,527,566,1
30,28,73,47,509,505,1
21,20,54,30,449,462,1
29,20,77,56,528,545,1
150,51,419,128,694,709,1
40,21,42,28,467,466,1
107,65,292,199,665,685,1
41,20,85,42,513,505,1
114,46,285,96,651,669,1
85,49,207,119,625,636,1
36,24,54,33,481,488,2
83,43,221,99,630,645,2
39,23,75,27,516,483,2
86,46,325,182,669,691,2
64,37,162,81,589,598,2
100,46,298,104,649,668,2
51,31,155,79,587,588,2
124,47,416,149,692,715,2
30,23,32,27,463,482,2
24,21,79,49,517,506,2
27,25,43,36,453,424,2
41,31,77,61,541,541,2
30,22,85,50,515,536,2
41,20,78,48,536,548,2
21,20,55,41,467,503,2
16,23,13,43,447,435,3
20,20,36,33,428,463,3
55,24,91,37,530,533,3
52,35,143,89,574,583,3
34,21,74,40,513,487,3
20,21,49,43,491,507,3
55,22,133,48,584,567,3
89,39,456,214,700,709,3
61,35,163,102,602,626,3
72,35,230,105,627,642,3
39,20,75,41,543,553,3
34,26,139,68,566,553,3
166,70,411,165,697,717,3
78,43,162,100,597,611,3
31,27,41,40,469,471,3
23,20,29,25,450,504,3
41,29,75,47,519,516,3
53,29,138,77,586,582,3
36,20,57,45,519,549,3
25,20,66,35,483,479,4
206,62,549,174,738,753,4
41,20,97,52,544,565,4
22,21,41,41,463,496,4
37,22,103,62,541,557,4
33,27,41,38,479,477,4
30,26,64,47,515,518,4
47,21,111,51,565,566,4
190,67,496,202,728,745,4
26,23,57,42,501,539,4
50,28,74,51,533,547,4
93,53,298,180,656,667,4
33,22,99,55,544,549,4
404,110,612,249,808,827,4
39,20,104,47,550,549,5
50,25,136,46,572,585,5
