"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
65,36,180,124,529,628,0
23,21,33,28,394,476,0
39,30,79,71,465,565,0
23,23,34,40,408,493,0
45,33,97,82,488,579,0
64,32,149,84,507,597,0
30,21,43,28,434,531,0
42,28,104,78,485,571,0
74,32,313,159,568,663,0
37,23,94,66,492,589,0
104,41,276,96,582,672,0
59,36,125,67,508,587,0
56,39,139,105,514,614,0
52,29,149,85,515,612,0
32,24,90,72,460,563,0
90,52,232,150,557,653,0
26,21,41,36,417,512,0
77,40,263,175,576,672,0
91,41,184,74,536,637,0
112,57,323,197,597,694,0
70,46,198,146,548,646,0
98,51,346,193,587,686,1
69,38,182,109,525,610,1
120,45,421,201,618,717,1
51,34,75,48,466,560,1
120,57,414,248,624,716,1
47,31,107,78,498,591,1
371,95,841,276,690,786,1
136,40,721,335,714,822,1
115,58,329,211,604,694,1
382,130,996,338,796,896,1
104,60,353,238,603,703,1
24,21,65,52,412,512,1
185,67,649,244,661,758,1
202,77,671,342,703,796,1
98,41,306,115,593,690,1
304,83,786,286,714,817,1
25,20,43,41,400,505,1
174,84,602,244,638,733,1
309,88,891,379,786,886,1
28,24,51,51,409,499,1
33,26,71,61,428,522,1
33,31,54,44,418,519,1
43,30,133,112,505,591,1
53,28,175,112,524,609,1
26,26,43,44,391,475,1
44,29,62,45,448,540,1
23,20,35,35,415,490,1
33,26,48,38,407,507,1
40,24,59,37,433,528,1
32,22,66,54,445,541,1
18,22,21,31,331,427,2
29,23,40,35,418,515,2
33,21,70,53,460,554,2
152,59,454,243,635,730,2
28,22,58,44,412,508,2
33,26,53,45,441,530,2
50,37,112,87,482,586,2
24,21,33,27,365,461,2
33,23,98,78,453,547,2
61,39,96,65,480,573,2
31,25,64,56,440,537,2
37,28,77,60,447,548,2
34,21,113,80,483,581,2
29,26,38,34,402,505,2
59,30,191,89,532,624,2
26,21,67,59,436,536,3
42,28,103,81,491,589,3
125,54,266,118,575,675,3
36,25,125,87,507,601,3
39,24,149,97,488,585,3
52,30,115,74,497,590,3
36,25,67,49,442,554,3
64,30,102,56,485,578,3
61,41,182,135,529,629,3
21,22,28,29,365,461,3
43,29,88,69,478,576,3
69,39,169,116,525,622,3
37,28,54,59,443,546,3
26,21,77,69,463,555,3
28,25,39,37,392,487,3
42,26,88,63,462,552,3
72,50,134,82,512,601,3
62,39,211,150,552,653,3
41,21,181,111,534,625,3
37,29,98,90,479,575,3
112,68,298,200,579,687,3
95,47,336,216,588,688,3
42,24,75,42,424,513,3
251,91,719,268,739,840,3
32,21,59,42,432,543,3
25,22,44,42,410,513,3
29,25,48,46,395,512,4
23,20,28,29,397,487,4
38,30,90,69,461,554,4
38,26,56,46,432,528,4
36,31,37,32,415,520,4
26,20,63,55,446,542,4
47,25,63,38,452,545,4
40,28,54,48,458,556,4
64,41,95,66,486,589,4
33,20,75,53,451,556,4
32,22,97,77,468,578,4
51,21,102,54,470,581,4
48,39,103,88,469,561,4
25,21,45,36,407,484,4
36,28,60,53,431,545,4
46,29,94,56,469,570,4
38,25,78,54,450,539,4
27,24,43,38,400,496,4
50,32,143,85,519,619,4
31,24,38,31,401,511,4
59,35,127,79,514,620,4
26,23,53,46,405,517,5
41,24,62,34,457,546,5
34,27,61,45,442,533,5
51,32,105,75,484,586,5
78,28,204,87,547,645,5
26,20,51,42,387,490,5
33,22,95,72,458,555,5
45,33,95,80,488,579,5
25,23,28,29,387,472,5
55,42,47,42,443,540,5
28,26,76,80,442,543,5
26,20,56,40,411,519,5
28,22,61,52,430,521,5
51,35,111,74,494,583,5
50,33,113,96,517,608,5
40,34,61,60,443,551,5
57,37,162,127,519,621,5
38,29,119,90,492,581,5
32,25,66,61,442,538,5
50,34,119,91,495,596,5
59,35,203,126,529,626,5
26,21,54,41,422,521,6
69,46,199,131,529,615,6
29,22,46,42,435,522,6
50,28,119,71,483,580,6
23,21,48,49,436,536,6
88,40,459,252,625,724,6
61,38,114,71,484,576,6
25,21,43,39,416,518,6
53,31,117,67,489,584,6
35,34,49,59,431,526,6
133,64,424,239,620,718,6
19,20,19,22,343,458,6
39,29,54,42,427,534,6
27,24,53,58,401,491,6
149,40,798,291,695,787,6
67,39,208,146,553,646,6
40,21,156,93,534,629,6
37,25,92,79,456,556,6
85,60,212,166,548,645,6
131,54,526,225,640,733,6
25,20,22,19,355,493,6
37,37,65,67,435,532,6
52,28,96,53,477,574,6
42,32,54,46,452,546,6
31,31,40,43,402,510,6
87,45,225,123,551,651,6
50,31,102,75,465,576,6
28,20,43,38,416,501,6
33,25,89,74,463,560,6
23,21,25,26,364,461,6
27,22,64,54,436,541,7
60,41,160,115,508,610,7
21,21,36,33,351,439,7
51,41,126,86,488,582,7
39,21,83,48,466,542,7
39,22,77,47,450,546,7
73,32,157,76,530,623,7
23,21,15,16,368,470,7
38,21,211,116,531,630,7
35,30,81,77,440,522,7
40,30,103,69,471,576,7
39,33,54,55,436,539,7
33,26,57,45,419,507,7
40,26,127,97,493,598,7
31,21,91,71,464,554,7
17,20,33,39,346,435,7
56,45,110,100,493,588,7
32,21,76,52,453,552,7
24,22,45,49,397,504,7
22,22,54,52,384,486,7
43,26,94,55,470,559,7
34,26,69,55,449,556,7
20,21,23,24,371,489,7
39,32,54,42,418,506,7
21,20,33,39,384,488,7
30,20,62,46,442,532,7
78,53,175,120,535,636,7
18,21,16,26,321,409,7
68,42,108,71,486,588,7
40,25,94,71,462,552,7
110,62,331,212,589,693,7
29,20,44,27,415,517,8
46,25,93,60,480,596,8
22,24,20,31,365,471,8
34,27,83,66,472,560,8
33,23,39,25,397,489,8
35,29,55,47,453,545,8
144,60,550,267,652,752,8
32,25,69,58,442,523,8
53,37,140,113,517,626,8
119,60,510,323,648,742,8
110,59,400,262,640,737,8
76,50,296,182,597,695,8
50,28,109,64,496,585,8
76,54,189,142,522,616,8
28,21,47,34,410,508,8
42,24,83,39,461,562,8
40,26,70,52,425,549,8
27,29,25,34,313,477,8
73,46,257,189,562,668,8
102,52,403,219,631,727,8
44,26,304,178,565,681,8
71,33,188,92,540,646,8
127,62,249,129,567,678,8
