"FSC-A","FSC-H","SSC-A","SSC-H","530_30-Blue-A","582_15-Yellow-A","Time"
90,39,249,102,649,680,0
170,62,442,142,682,710,0
104,47,163,85,608,649,0
162,70,479,195,704,736,0
56,52,96,84,540,577,0
29,26,70,65,500,540,0
31,22,73,40,527,557,0
82,27,331,152,631,661,0
24,22,35,38,459,486,1
310,90,788,379,831,859,1
51,25,120,59,560,606,1
60,28,233,130,600,631,1
25,23,187,113,583,610,1
30,25,48,49,500,516,1
168,44,427,104,684,709,1
20,21,36,50,427,466,1
59,32,126,60,568,599,1
86,46,230,122,607,636,1
28,21,26,29,443,483,1
45,25,48,34,484,528,1
67,29,197,88,607,637,1
54,30,153,90,572,605,1
273,88,649,257,743,772,1
37,22,39,39,456,512,2
23,21,62,52,507,522,2
38,31,118,86,539,558,2
44,30,83,43,523,555,2
316,107,738,384,813,848,2
83,34,257,117,639,669,2
84,39,173,85,599,627,2
120,56,294,106,640,666,2
24,21,91,49,514,557,2
62,40,197,103,583,616,2
68,36,182,95,592,614,2
47,31,145,87,558,590,2
34,21,91,41,523,550,2
51,29,106,63,536,592,2
22,20,36,25,478,466,2
81,37,358,128,645,671,2
18,20,55,48,461,470,2
58,32,226,100,625,658,2
22,24,61,65,493,525,2
17,23,55,62,450,501,3
86,41,227,106,612,638,3
72,45,118,78,575,605,3
47,24,83,41,501,544,3
20,26,26,50,453,480,3
30,24,100,53,509,523,3
38,29,70,52,503,530,3
23,24,71,74,509,543,3
54,42,36,41,484,533,3
53,33,129,69,545,578,3
28,28,63,55,468,508,3
87,42,187,76,610,640,3
280,86,691,178,738,768,3
23,22,57,48,506,538,3
35,28,65,51,517,544,3
25,27,61,66,491,527,3
185,46,590,189,712,742,3
216,72,545,161,705,733,3
45,38,79,70,523,550,3
33,24,71,63,509,546,3
36,24,29,18,441,396,4
132,53,489,203,709,736,4
132,47,210,89,631,657,4
55,29,145,75,552,589,4
90,48,289,131,629,659,4
36,20,66,36,498,514,4
45,34,88,62,511,533,4
19,25,48,60,450,472,4
27,23,21,29,436,449,4
259,92,693,259,736,770,5
70,34,158,77,594,624,5
58,33,164,108,601,628,5
169,56,432,215,683,716,5
120,50,229,110,630,660,5
30,23,71,53,512,542,5
27,24,51,57,485,545,5
250,79,675,226,739,769,5
63,36,103,67,557,594,5
35,23,89,85,531,578,5
77,55,273,226,588,632,5
20,23,31,38,437,475,5
49,38,110,92,550,574,5
48,26,95,35,541,564,5
36,20,102,44,499,540,5
80,40,167,82,573,609,5
40,21,79,52,500,545,5
24,20,62,57,471,528,5
28,26,29,34,387,416,5
98,32,183,47,589,614,5
53,37,109,85,537,575,6
35,24,64,51,495,552,6
52,27,112,68,529,549,6
37,31,84,67,520,554,6
45,28,136,82,572,606,6
240,79,607,179,700,750,6
91,51,382,182,663,688,6
359,84,783,232,763,795,6
43,20,115,59,529,558,6
157,57,320,141,652,682,6
35,21,99,83,523,537,6
30,34,60,70,487,530,6
102,44,299,98,633,657,6
121,59,558,318,753,783,7
48,26,91,65,506,533,7
37,21,121,65,538,570,7
21,24,59,60,469,503,7
109,32,246,80,609,637,7
22,21,130,103,523,551,7
25,22,56,64,487,525,7
297,69,645,159,725,757,7
76,37,208,107,601,618,7
102,52,333,172,652,681,7
114,49,370,123,644,678,8
38,21,59,47,479,516,8
55,21,124,43,550,556,8
157,52,437,164,687,719,8
18,20,50,55,453,478,8
33,31,50,57,494,517,8
35,33,52,53,487,503,8
33,21,80,50,506,574,8
21,25,63,68,463,486,8
71,46,220,116,601,625,8
25,27,25,35,450,496,8
19,23,27,43,329,420,8
148,69,283,149,641,676,8
46,34,99,63,543,573,8
260,91,530,165,710,737,8
45,24,173,82,587,617,8
36,32,50,50,483,495,8
35,28,35,38,411,452,9
33,22,60,35,496,511,9
32,21,64,39,479,530,9
38,20,210,102,601,633,9
59,22,143,66,561,574,9
37,29,59,49,503,536,9
32,26,55,47,495,533,9
42,20,135,64,558,585,9
166,56,582,193,714,742,9
85,28,202,84,606,644,9
101,37,552,283,706,740,9
50,22,140,64,584,611,9
20,20,76,49,518,516,10
90,52,196,100,610,640,10
29,25,79,58,513,527,10
31,26,77,62,534,568,10
28,20,72,59,506,529,10
533,152,886,290,814,846,10
60,35,126,63,556,578,10
17,21,49,47,483,505,10
28,22,108,80,518,542,10
63,31,207,97,598,628,10
173,59,467,159,694,723,10
12,21,20,48,410,439,10
304,102,614,196,724,750,10
41,27,44,36,461,478,10
54,35,150,113,571,600,11
226,65,630,186,719,750,11
44,24,64,29,499,528,11
21,27,17,41,403,432,11
35,24,61,39,487,502,11
21,21,47,54,462,524,11
15,21,32,44,379,379,11
22,20,54,54,520,552,11
44,26,107,66,551,575,11
34,20,113,64,554,578,11
27,20,67,51,465,487,11
135,53,432,133,682,708,11
121,61,298,162,648,677,11
105,45,247,92,646,674,11
20,21,39,40,404,475,11
37,25,48,43,455,496,11
59,42,127,91,549,583,11
16,25,17,42,420,399,11
26,20,30,29,434,483,11
166,57,466,178,679,712,11
42,24,87,56,521,557,12
59,22,171,77,570,609,12
35,20,90,57,499,514,12
48,24,166,84,601,628,12
208,62,449,132,705,734,12
512,107,968,323,824,855,12
86,27,150,50,559,602,12
43,22,153,77,569,594,12
20,23,19,37,356,324,12
245,77,636,192,734,769,12
534,98,968,217,803,839,12
99,50,266,113,634,665,12
33,22,60,46,490,520,12
256,75,643,284,776,809,12
51,25,84,39,515,541,12
62,34,124,71,546,576,12
161,55,545,171,705,732,12
140,58,282,118,652,684,12
42,24,102,54,530,544,12
30,20,49,33,473,486,12
20,25,19,40,404,429,12
