First author,Year,Journal,Context,Host Type,Host cell details,Mtb Strain details,Culture details,Intrinsic/Extrinsic growth,Single-cell doubling time,Median (h),Q1 (h),Q3 (h),N,Min dt (h),Max dt (h),Notes,Notes,Analysis notes,PMID,Raw data,Raw data notes
Chung,2024,Nat Micro,in vitro,None,None,CDC1551,Rich medium microfluidic device,None,Yes,15.68,13.85,19.55,363,4.82,33.55,Single-cell IDT,"Median interdivision, linear growth, not exponential",Single-cell tracking in microfluidic device,PMID: 39548343,Available ,Single-cell IDT
Mahamed,2017,eLife,in cellulo,Human,MDMs,H37Rv,Intracellular,Intrinsic,No,577,-43.3,31.5,101,,,Growth rate (ln2),Slow intracellular growth constant shown in live cells,Median DT calculated from growth constant,PMID: 28130921,Not shown,Growth rate (ln2)
Mahamed,2017,eLife,in cellulo,Human,MDMs,H37Rv,Intracellular in necrotic macrophages,Extrinsic,No,21.2,15,33,92,,,Growth rate (ln2),Faster replication after cell death,Median DT calculated from growth constant,PMID: 28130921,Not shown,Growth rate (ln2)
Mahamed,2017,eLife,in cellulo,Human,MDMs,H37Rv,Intracellular in necrotic macrophages,Extrinsic,No,24.7,19,34,90,,,"Growth rate (ln2), 2 neg. excluded",Faster replication after cell death,"Median DT calculated from growth constant, negative values excluded",PMID: 28130921,Possibly extractable,"Growth rate (ln2), 2 negative values excluded, distribution shown in F5B"
Mahamed,2017,eLife,in cellulo,Human,MDMs,H37Rv,Extracellular,Extrinsic,No,36.1,31,44,60,,,Growth rate (ln2),Slower extracellular replication compared to dead-cell niche,Median DT calculated from growth constant,PMID: 28130921,Possibly extractable,"Growth rate (ln2), distribution shown in F5B"
Mahamed,2017,eLife,in cellulo,Human,AMs,H37Rv,Intracellular in dead alveolar macrophages,Extrinsic,No,24.6,12,495,220,,,Growth rate (ln2),Comparable between HMDM and AM,Median DT calculated from growth constant,PMID: 28130921,Not shown,Growth rate (ln2)
Mahamed,2017,eLife,in cellulo,Human,AMs,H37Rv,Extracellular near dead alveolar macrophages,Extrinsic,No,39.1,20,462,60,,,Growth rate (ln2),Slower extracellular replication compared to dead-cell niche,Median DT calculated from growth constant,PMID: 28130921,Not shown,Growth rate (ln2)
Mahamed,2017,eLife,in cellulo,Human,MDMs,H37Rv,IFNγ treated,Extrinsic,No,25.6,15,91,49,,,Growth rate (ln2),Slower extracellular replication compared to dead-cell niche,Median DT calculated from growth constant,PMID: 28130921,Not shown,Growth rate (ln2)
Toniolo,2024,Methods Mol Biol,in cellulo,Murine,BMDMs,H37Rv,Intracellular,Intrinsic,Yes,37.2,24.35,66.96,59,,,"Reciprocal, Fig. 4B",Slower intracellular replication,Exponential fits of microcolony area,PMID: 38888778,Possibly extractable,"Reciprocal, distribution shown in F4B"
Toniolo,2024,Methods Mol Biol,in cellulo,Murine,BMDMs,H37Rv,Extracellular,Extrinsic,Yes,20.93,16.33,25.76,21,,,"Reciprocal, Fig. 4B",Faster extracellular replication,Exponential fits of microcolony area,PMID: 38888778,Possibly extractable,"Reciprocal, distribution shown in F4B"
Toniolo,2024,Methods Mol Biol,in cellulo,Murine,BMDMs,ESX1,Intracellular in ESX-1,Intrinsic,Yes,55.8,39.98,74.4,45,,,"Reciprocal, Fig. 4B",Slower intracellular mutant replication,Exponential fits of microcolony area,PMID: 38888778,Possibly extractable,"Reciprocal, distribution shown in F4B"
Toniolo,2024,Methods Mol Biol,in cellulo,Murine,BMDMs,ESX1,Extracellular in ESX-1,Intrinsic,Yes,20.93,14.32,25.76,16,,,"Reciprocal, Fig. 4B",Slower intracellular mutant replication,Exponential fits of microcolony area,PMID: 38888778,Possibly extractable,"Reciprocal, distribution shown in F4B"
